time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
159.86100000,1.97353000,1.92218000,-0.03264770,1.08865000,-1.10619000,-1.99513000
159.86100000,1.95639000,1.88927000,-0.05716070,1.09412000,-1.09080000,-2.03965000
159.86100000,1.99067000,1.95508000,-0.00813476,1.08319000,-1.12158000,-1.95060000
160.32700000,-0.92021200,-0.58620100,1.36923000,-1.19912000,0.45094700,-1.05885000
160.32700000,-0.92756900,-0.56740900,1.44230000,0.90197500,-0.79255900,1.25812000
160.36900000,1.47657000,0.96779800,-0.74352900,1.24718000,-0.65991000,-3.28636000
160.39900000,1.49371000,1.00071000,-0.71901500,1.24172000,-0.67530000,-3.24183000
160.44100000,1.51085000,1.03362000,-0.69450200,1.23625000,-0.69068900,-3.19731000
160.47100000,1.52798000,1.06653000,-0.66998900,1.23078000,-0.70607800,-3.15278000
160.47100000,1.54512000,1.09944000,-0.64547500,1.22532000,-0.72146700,-3.10826000
160.51300000,1.56226000,1.13235000,-0.62096200,1.21985000,-0.73685600,-3.06373000
160.54300000,1.57939000,1.16526000,-0.59644800,1.21438000,-0.75224600,-3.01921000
160.58500000,1.59653000,1.19817000,-0.57193300,1.20892000,-0.76763600,-2.97468000
160.61500000,-0.85400700,-0.75532400,1.59671000,-0.86125600,0.07208610,-1.46180000
160.65700000,1.63081000,1.26400000,-0.52289600,1.19798000,-0.79842100,-2.88561000
160.68700000,1.64795000,1.29692000,-0.49838100,1.19251000,-0.81381100,-2.84108000
160.68700000,1.66509000,1.32983000,-0.47386600,1.18705000,-0.82920100,-2.79655000
160.72900000,1.68222000,1.36274000,-0.44935100,1.18158000,-0.84459100,-2.75202000
160.75900000,1.69936000,1.39565000,-0.42483700,1.17611000,-0.85998000,-2.70750000
160.80200000,1.71650000,1.42856000,-0.40032500,1.17065000,-0.87536900,-2.66297000
160.80200000,1.73363000,1.46147000,-0.37581000,1.16518000,-0.89075900,-2.61845000
160.84500000,1.75077000,1.49438000,-0.35129700,1.15971000,-0.90614700,-2.57392000
160.87500000,1.76791000,1.52729000,-0.32678500,1.15425000,-0.92153600,-2.52940000
160.91700000,1.78504000,1.56020000,-0.30227200,1.14878000,-0.93692500,-2.48487000
160.94700000,1.80218000,1.59311000,-0.27775900,1.14331000,-0.95231400,-2.44035000
160.94700000,-0.76573200,1.81932000,1.62602000,-0.98082800,-0.25324600,1.90003100
160.99000000,1.83645000,1.65893000,-0.22873300,1.13238000,-0.98309200,-2.35130000
161.02000000,1.85359000,1.69184000,-0.20422000,1.12692000,-0.99848100,-2.30678000
161.06200000,1.87072000,1.72474000,-0.17970700,1.12145000,-1.01387000,-2.26225000
161.09200000,1.90500000,1.79056000,-0.13068100,1.11052000,-1.04465000,-2.17320000
161.09200000,1.88786000,1.75765000,-0.15519400,1.11598000,-1.02926000,-2.21773000
161.15100000,1.92213000,1.82348000,-0.10616500,1.10505000,-1.06004000,-2.12867000
161.18100000,1.93927000,1.85639000,-0.08165000,1.09958000,-1.07543000,-2.08415000
161.22300000,1.95641000,1.88930000,-0.05713700,1.09412000,-1.09082000,-2.03962000
161.22300000,1.97355000,1.92221000,-0.03262400,1.08865000,-1.10621000,-1.99510000
161.26500000,1.99068000,1.95512000,-0.00811107,1.08318000,-1.12159000,-1.95057000
161.51200000,1.44230000,0.90197600,-0.79255800,1.25812000,-0.62913500,-3.37542000
161.59500000,1.45944000,0.93488800,-0.76804300,1.25265000,-0.64452400,-3.33089000
161.62500000,1.47657000,0.96780000,-0.74352800,1.24718000,-0.65991500,-3.28636000
161.66700000,1.49371000,1.00071000,-0.71901500,1.24172000,-0.67530300,-3.24184000
161.69700000,1.52798000,1.06653000,-0.66999000,1.23078000,-0.70608000,-3.15279000
161.69700000,1.51085000,1.03362000,-0.69450300,1.23625000,-0.69069200,-3.19732000
161.74000000,1.54512000,1.09944000,-0.64547700,1.22532000,-0.72146900,-3.10827000
161.77000000,1.56225000,1.13235000,-0.62096400,1.21985000,-0.73685800,-3.06374000
161.81300000,1.57939000,1.16525000,-0.59645100,1.21439000,-0.75224700,-3.01922000
161.84300000,1.59653000,1.19817000,-0.57193600,1.20892000,-0.76763600,-2.97469000
161.84300000,1.61366000,1.23108000,-0.54742300,1.20345000,-0.78302500,-2.93017000
161.88500000,1.63080000,1.26399000,-0.52290900,1.19799000,-0.79841500,-2.88564000
161.91500000,1.64794000,1.29690000,-0.49839600,1.19252000,-0.81380300,-2.84111000
161.95800000,1.66507000,1.32981000,-0.47388300,1.18705000,-0.82919200,-2.79659000
161.98800000,1.68221000,1.36272000,-0.44936900,1.18159000,-0.84458100,-2.75206000
162.03000000,1.69935000,1.39563000,-0.42485600,1.17612000,-0.85997000,-2.70754000
162.06000000,1.71648000,1.42853000,-0.40034300,1.17065000,-0.87535900,-2.66302000
162.10200000,1.75076000,1.49436000,-0.35131500,1.15972000,-0.90613700,-2.57396000
162.13200000,-0.78779800,-0.92445800,1.82421000,-0.52337100,1.76789000,-0.30680100
162.20400000,1.81931000,1.62601000,-0.25325100,1.13785000,-0.96770000,-2.39584000
162.20400000,1.80217000,1.59310000,-0.27776500,1.14332000,-0.95231100,-2.44037000
162.24700000,1.83645000,1.65892000,-0.22873500,1.13238000,-0.98309100,-2.35131000
162.32000000,-0.74365500,-1.03722000,1.97588000,-0.29809800,-0.55941100,-2.13346000
162.35000000,1.88786000,1.75765000,-0.15519300,1.11598000,-1.02926000,-2.21773000
162.39200000,1.90500000,1.79056000,-0.13067900,1.11052000,-1.04465000,-2.17321000
162.42200000,-0.72158600,-1.09360000,2.05171000,-0.18547400,-0.68570100,-2.26778000
162.46400000,1.95641000,1.88930000,-0.05713780,1.09412000,-1.09082000,-2.03963000
162.49400000,-0.69951700,-1.14998000,2.12754000,-0.07284870,-0.81199300,-2.40211000
162.53700000,-0.69216000,-1.16877000,2.15282000,-0.03530370,-0.85409400,-2.44688000
162.68400000,-0.93492500,-0.54861200,1.31867000,-1.27420000,0.53514300,-0.96929800
162.71400000,1.44230000,0.90197700,-0.79255700,1.25812000,-0.62913500,-3.37543000
162.71400000,1.45943000,0.93488600,-0.76804500,1.25265000,-0.64452300,-3.33091000
162.75600000,1.47657000,0.96779600,-0.74353100,1.24718000,-0.65991300,-3.28638000
162.78600000,1.49371000,1.00071000,-0.71901800,1.24172000,-0.67530100,-3.24185000
162.82800000,1.51084000,1.03362000,-0.69450400,1.23625000,-0.69069100,-3.19733000
162.85800000,1.52798000,1.06652000,-0.66999100,1.23078000,-0.70607900,-3.15280000
162.90000000,-0.88343200,-0.68015500,1.49561000,-1.01142000,0.24046900,-1.28271000
162.93000000,1.57939000,1.16526000,-0.59644800,1.21438000,-0.75224800,-3.01922000
162.93000000,1.56225000,1.13235000,-0.62096300,1.21985000,-0.73685800,-3.06375000
162.97200000,1.59653000,1.19817000,-0.57193500,1.20892000,-0.76763700,-2.97470000
163.00200000,1.61367000,1.23108000,-0.54742200,1.20345000,-0.78302600,-2.93017000
163.04600000,1.63080000,1.26399000,-0.52290900,1.19799000,-0.79841500,-2.88565000
163.07600000,1.68221000,1.36272000,-0.44936700,1.18158000,-0.84458300,-2.75207000
163.07600000,1.64794000,1.29690000,-0.49839500,1.19252000,-0.81380400,-2.84112000
163.07600000,1.66508000,1.32981000,-0.47388000,1.18705000,-0.82919400,-2.79660000
163.18400000,-0.80986500,-0.86808500,1.74838000,-0.63598800,-0.18051800,-1.73047000
163.22800000,-0.80250900,-0.88687700,1.77366000,-0.59844600,-0.22261600,-1.77525000
163.25800000,1.75076000,1.49437000,-0.35130800,1.15972000,-0.90614200,-2.57396000
163.30000000,-0.78043400,-0.94326800,1.84951000,-0.48579300,-0.34893900,1.78505000
163.33000000,1.80218000,1.59311000,-0.27775400,1.14331000,-0.95231800,-2.44036000
163.37400000,-0.76572200,-0.98085200,1.90006000,-0.41071100,-0.43313300,-1.99915000
163.40400000,-0.75100700,-1.01844000,1.95062000,-0.33561500,1.85360000,1.69186000
163.44700000,1.87074000,1.72477000,-0.17969000,1.12145000,-1.01388000,-2.26224000
163.54900000,1.92215000,1.82350000,-0.10614700,1.10505000,-1.06005000,-2.12866000
