time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
1.52508000,1.35287000,-0.05252140,-1.49303000,1.81886000,1.29600000,0.05079850
1.56770000,1.35287000,-0.05275520,-1.49568000,1.81646000,1.29600000,0.05079890
1.61009000,1.35287000,-0.05273260,-1.49541000,1.81669000,1.29600000,0.05079880
1.63009000,1.35287000,-0.05318300,-1.50047000,1.81209000,1.29600000,0.05079950
1.67339000,1.35287000,-0.05312310,-1.49983000,1.81266000,1.29600000,0.05079940
1.69340000,1.35287000,-0.05356280,-1.50490000,1.80803000,1.29600000,0.05080010
1.73775000,1.35287000,-0.05350450,-1.50426000,1.80861000,1.29600000,0.05080000
1.75775000,1.35287000,-0.05392980,-1.50932000,1.80397000,1.29600000,0.05080070
1.80032000,1.35287000,-0.05400910,-1.51034000,1.80303000,1.29600000,0.05080080
1.82033000,1.35287000,-0.05440000,-1.51520000,1.79856000,1.29600000,0.05080140
1.86642000,1.35287000,-0.05434660,-1.51457000,1.79913000,1.29600000,0.05080140
1.90811000,1.35287000,-0.05459720,-1.51780000,1.79616000,1.29600000,0.05080180
1.92811000,1.35287000,-0.05495630,-1.52251000,1.79180000,1.29600000,0.05080240
1.97118000,1.35287000,-0.05490900,-1.52193000,1.79234000,1.29600000,0.05080230
1.99118000,1.35285000,-0.05534910,-1.52303000,1.79026000,1.29593000,0.05119990
2.03295000,1.35285000,-0.05529360,-1.52275000,1.79061000,1.29594000,0.05116380
2.05295000,1.35285000,-0.05450270,-1.51316000,1.79966000,1.29594000,0.05118720
2.09837000,1.35285000,-0.05455970,-1.51386000,1.79900000,1.29594000,0.05118510
2.11837000,1.35285000,-0.05378610,-1.50434000,1.80774000,1.29593000,0.05118550
2.16120000,1.35285000,-0.05354680,-1.50179000,1.81013000,1.29594000,0.05115310
2.18121000,1.35285000,-0.05271950,-1.49244000,1.81864000,1.29594000,0.05115640
2.22334000,1.35285000,-0.05278020,-1.49317000,1.81800000,1.29594000,0.05115630
2.24334000,1.35285000,-0.05187660,-1.48349000,1.82676000,1.29594000,0.05115710
2.28630000,1.35285000,-0.05195200,-1.48428000,1.82606000,1.29594000,0.05115660
2.32783000,1.35285000,-0.05134100,-1.47774000,1.83192000,1.29593000,0.05118990
2.34783000,1.35285000,-0.05039070,-1.46851000,1.84019000,1.29593000,0.05118820
2.39019000,1.35285000,-0.05048270,-1.46939000,1.83942000,1.29593000,0.05118700
2.41019000,1.35285000,-0.04938570,-1.45939000,1.84839000,1.29594000,0.05115130
2.45456000,1.35285000,-0.04948760,-1.46032000,1.84756000,1.29594000,0.05115350
2.47456000,1.35285000,-0.04835750,-1.45025000,1.85648000,1.29594000,0.05115530
2.51925000,1.35285000,-0.04807910,-1.44791000,1.85860000,1.29594000,0.05115410
2.53925000,1.35285000,-0.04690680,-1.43798000,1.86730000,1.29594000,0.05115600
2.58366000,1.35285000,-0.04702960,-1.43908000,1.86633000,1.29594000,0.05115520
2.60366000,1.35285000,-0.04575600,-1.42871000,1.87541000,1.29594000,0.05115710
2.64794000,1.35285000,-0.04501320,-1.42299000,1.88039000,1.29594000,0.05115650
2.69351000,1.35285000,-0.04509710,-1.42368000,1.87977000,1.29594000,0.05115720
2.71352000,1.35285000,-0.04372380,-1.41309000,1.88899000,1.29594000,0.05115850
2.75897000,1.35285000,-0.04386890,-1.41435000,1.88788000,1.29594000,0.05115770
2.77897000,1.35285000,-0.04243320,-1.40362000,1.89716000,1.29594000,0.05115970
2.84700000,1.35285000,-0.04163430,-1.39828000,1.90171000,1.29594000,0.05115880
2.86700000,1.35285000,-0.04016370,-1.38768000,1.91083000,1.29594000,0.05116120
2.91126000,1.35285000,-0.04032260,-1.38896000,1.90973000,1.29594000,0.05116070
2.93126000,1.35285000,-0.03872910,-1.37801000,1.91907000,1.29594000,0.05116210
2.97444000,1.35285000,-0.03890400,-1.37940000,1.91789000,1.29594000,0.05116130
2.99444000,1.35285000,-0.03724480,-1.36828000,1.92732000,1.29594000,0.05116310
3.03731000,1.35285000,-0.03630610,-1.36250000,1.93219000,1.29594000,0.05116330
3.08169000,1.35285000,-0.03583300,-1.35947000,1.93474000,1.29594000,0.05116370
3.10169000,1.35285000,-0.03410440,-1.34858000,1.94388000,1.29594000,0.05116480
3.14510000,1.35285000,-0.03430000,-1.35001000,1.94268000,1.29594000,0.05116470
3.16510000,1.35285000,-0.03245310,-1.33861000,1.95219000,1.29593000,0.05116660
3.20716000,1.35285000,-0.03265820,-1.34005000,1.95099000,1.29594000,0.05116570
3.22716000,1.35285000,-0.03074820,-1.32857000,1.96052000,1.29593000,0.05116730
3.27154000,1.35285000,-0.03096410,-1.33001000,1.95932000,1.29593000,0.05116720
3.29154000,1.35285000,-0.02897690,-1.31836000,1.96896000,1.29593000,0.05116850
3.33402000,1.35285000,-0.02921120,-1.31990000,1.96767000,1.29593000,0.05116870
3.35402000,1.35285000,-0.02716950,-1.30824000,1.97726000,1.29593000,0.05116930
3.40342000,1.35285000,-0.02673260,-1.30604000,1.97905000,1.29593000,0.05117040
3.42342000,1.35285000,-0.02604650,-1.30208000,1.98230000,1.29593000,0.05117000
3.44342000,1.35285000,-0.02400670,-1.29106000,1.99128000,1.29593000,0.05117210
3.48660000,1.35285000,-0.02423920,-1.29244000,1.99014000,1.29593000,0.05117160
3.52783000,1.35285000,-0.02281920,-1.28490000,1.99626000,1.29593000,0.05117260
3.54783000,1.35285000,-0.02068600,-1.27363000,2.00537000,1.29593000,0.05117400
3.59030000,1.35285000,-0.02093710,-1.27502000,2.00423000,1.29593000,0.05117430
3.61030000,1.35285000,-0.01861740,-1.26307000,2.01386000,1.29593000,0.05117540
3.65387000,1.35285000,-0.01888540,-1.26455000,2.01265000,1.29593000,0.05117530
3.67387000,1.35285000,-0.01648420,-1.25241000,2.02238000,1.29593000,0.05117720
3.72111000,1.35285000,-0.01596420,-1.24998000,2.02430000,1.29593000,0.05117730
3.74111000,1.35285000,-0.01354780,-1.23807000,2.03378000,1.29593000,0.05117890
