time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
5.68078000,-0.94524100,-0.49554500,1.12008000,-1.49821000,0.62439300,-0.76711000
5.71078000,-0.94524200,-0.49565800,1.11995000,-1.49862000,0.62439600,-0.76672900
5.75372000,-0.94524200,-0.49565800,1.11995000,-1.49862000,0.62439600,-0.76672900
5.78373000,-0.94524200,-0.49582900,1.11977000,-1.49923000,0.62440100,-0.76615800
5.82796000,-0.94524200,-0.49582900,1.11977000,-1.49923000,0.62440100,-0.76615800
5.85797000,-0.94524300,-0.49594200,1.11965000,-1.49964000,0.62440400,-0.76577700
5.89999000,-0.94524300,-0.49594200,1.11965000,-1.49964000,0.62440400,-0.76577700
5.92999000,-0.94524300,-0.49605600,1.11953000,-1.50005000,0.62440700,-0.76539600
5.97306000,-0.94524300,-0.49611300,1.11947000,-1.50025000,0.62440900,-0.76520500
6.00306000,-0.94524400,-0.49622600,1.11934000,-1.50066000,0.62441200,-0.76482400
6.04654000,-0.94524400,-0.49628300,1.11928000,-1.50087000,0.62441300,-0.76463300
6.08906000,-0.94524400,-0.49628300,1.11928000,-1.50087000,0.62441300,-0.76463300
6.11906000,-0.94524400,-0.49639600,1.11916000,-1.50128000,0.62441600,-0.76425200
6.17054000,-0.94524400,-0.49645300,1.11910000,-1.50148000,0.62441800,-0.76406200
6.20054000,-0.94524500,-0.49656700,1.11898000,-1.50189000,0.62442100,-0.76368100
6.24366000,-0.94524500,-0.49662400,1.11892000,-1.50209000,0.62442300,-0.76349000
6.27366000,-0.94524500,-0.49673700,1.11880000,-1.50250000,0.62442600,-0.76310900
6.31695000,-0.94524500,-0.49679400,1.11873000,-1.50271000,0.62442700,-0.76291900
6.36141000,-0.94524500,-0.49679400,1.11873000,-1.50271000,0.62442700,-0.76291900
6.39142000,-0.94524600,-0.49696400,1.11855000,-1.50332000,0.62443200,-0.76234700
6.43493000,-0.94524600,-0.49702100,1.11849000,-1.50352000,0.62443400,-0.76215700
6.47882000,-0.94524600,-0.49702100,1.11849000,-1.50352000,0.62443400,-0.76215700
6.50882000,-0.94524700,-0.49719100,1.11831000,-1.50414000,0.62443800,-0.76158500
6.55154000,-0.94524700,-0.49719100,1.11831000,-1.50414000,0.62443800,-0.76158500
6.58154000,-0.94524700,-0.49730500,1.11819000,-1.50455000,0.62444100,-0.76120400
6.62504000,-0.94524700,-0.49730500,1.11819000,-1.50455000,0.62444100,-0.76120400
6.65504000,-0.94524700,-0.49747500,1.11800000,-1.50516000,0.62444600,-0.76063200
6.69726000,-0.94524700,-0.49747500,1.11800000,-1.50516000,0.62444600,-0.76063200
6.72726000,-0.94524800,-0.49758900,1.11788000,-1.50557000,0.62444900,-0.76025100
6.77069000,-0.94524800,-0.49758900,1.11788000,-1.50557000,0.62444900,-0.76025100
6.80069000,-0.94524800,-0.49770200,1.11776000,-1.50598000,0.62445200,-0.75987000
6.84413000,-0.94524800,-0.49775900,1.11770000,-1.50618000,0.62445400,-0.75968000
6.87414000,-0.94524900,-0.49787300,1.11758000,-1.50659000,0.62445700,-0.75929900
6.92147000,-0.94524900,-0.49787300,1.11758000,-1.50659000,0.62445700,-0.75929900
6.95147000,-0.94524900,-0.49798600,1.11745000,-1.50700000,0.62446000,-0.75891800
6.99449000,-0.94524900,-0.49804300,1.11739000,-1.50720000,0.62446200,-0.75872700
7.02449000,-0.94525000,-0.49815600,1.11727000,-1.50761000,0.62446500,-0.75834600
7.06809000,-0.94525000,-0.49815600,1.11727000,-1.50761000,0.62446500,-0.75834600
7.09810000,-0.94525000,-0.49827000,1.11715000,-1.50802000,0.62446800,-0.75796500
7.17051000,-0.94525000,-0.49832700,1.11709000,-1.50822000,0.62447000,-0.75777400
7.20051000,-0.94525100,-0.49849700,1.11691000,-1.50884000,0.62447400,-0.75720300
7.24485000,-0.94525100,-0.49855400,1.11684000,-1.50904000,0.62447600,-0.75701200
7.28854000,-0.94525100,-0.49855400,1.11684000,-1.50904000,0.62447600,-0.75701200
7.31855000,-0.94525100,-0.49872400,1.11666000,-1.50965000,0.62448100,-0.75644100
7.36172000,-0.94525100,-0.49872400,1.11666000,-1.50965000,0.62448100,-0.75644100
7.39172000,-0.94525200,-0.49883800,1.11654000,-1.51006000,0.62448400,-0.75606000
7.43529000,-0.94525200,-0.49883800,1.11654000,-1.51006000,0.62448400,-0.75606000
7.46529000,-0.94525200,-0.49900800,1.11636000,-1.51068000,0.62448900,-0.75548800
7.50954000,-0.94525200,-0.49900800,1.11636000,-1.51068000,0.62448900,-0.75548800
7.53954000,-0.94525300,-0.49912200,1.11624000,-1.51108000,0.62449200,-0.75510700
7.58339000,-0.94525300,-0.49912200,1.11624000,-1.51108000,0.62449200,-0.75510700
7.61339000,-0.94525300,-0.49929200,1.11605000,-1.51170000,0.62449600,-0.75453500
7.65761000,-0.94525300,-0.49929200,1.11605000,-1.51170000,0.62449600,-0.75453500
