time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
5.52068000,-0.94524100,-0.49531800,1.12032000,-1.49739000,0.62438700,-0.76787200
5.56444000,-0.94524100,-0.49537500,1.12026000,-1.49760000,0.62438800,-0.76768200
5.60878000,-0.94524100,-0.49543100,1.12020000,-1.49780000,0.62439000,-0.76749100
5.63879000,-0.94524100,-0.49548800,1.12014000,-1.49801000,0.62439100,-0.76730100
5.63879000,-0.94524100,-0.49554500,1.12008000,-1.49821000,0.62439300,-0.76711000
5.68078000,-0.94524200,-0.49560200,1.12001000,-1.49841000,0.62439400,-0.76692000
5.71078000,-0.94524200,-0.49565800,1.11995000,-1.49862000,0.62439600,-0.76672900
5.75372000,-0.94524200,-0.49571500,1.11989000,-1.49882000,0.62439800,-0.76653900
5.78373000,-0.94524200,-0.49577200,1.11983000,-1.49903000,0.62439900,-0.76634800
5.78373000,-0.94524200,-0.49582900,1.11977000,-1.49923000,0.62440100,-0.76615800
5.82796000,-0.94524300,-0.49588500,1.11971000,-1.49944000,0.62440200,-0.76596700
5.85797000,-0.94524300,-0.49594200,1.11965000,-1.49964000,0.62440400,-0.76577700
5.89999000,-0.94524300,-0.49599900,1.11959000,-1.49985000,0.62440500,-0.76558600
5.92999000,-0.94524300,-0.49605600,1.11953000,-1.50005000,0.62440700,-0.76539600
5.92999000,-0.94524300,-0.49611300,1.11947000,-1.50025000,0.62440900,-0.76520500
5.97306000,-0.94524300,-0.49616900,1.11940000,-1.50046000,0.62441000,-0.76501500
6.00306000,-0.94524400,-0.49622600,1.11934000,-1.50066000,0.62441200,-0.76482400
6.04654000,-0.94524400,-0.49628300,1.11928000,-1.50087000,0.62441300,-0.76463300
6.08906000,-0.94524400,-0.49634000,1.11922000,-1.50107000,0.62441500,-0.76444300
6.11906000,-0.94524400,-0.49639600,1.11916000,-1.50128000,0.62441600,-0.76425200
6.11906000,-0.94524400,-0.49645300,1.11910000,-1.50148000,0.62441800,-0.76406200
6.17054000,-0.94524400,-0.49651000,1.11904000,-1.50168000,0.62442000,-0.76387100
6.20054000,-0.94524500,-0.49656700,1.11898000,-1.50189000,0.62442100,-0.76368100
6.20054000,-0.94524500,-0.49662400,1.11892000,-1.50209000,0.62442300,-0.76349000
6.24366000,-0.94524500,-0.49668000,1.11886000,-1.50230000,0.62442400,-0.76330000
6.27366000,-0.94524500,-0.49673700,1.11880000,-1.50250000,0.62442600,-0.76310900
6.31695000,-0.94524500,-0.49679400,1.11873000,-1.50271000,0.62442700,-0.76291900
6.36141000,-0.94524600,-0.49685100,1.11867000,-1.50291000,0.62442900,-0.76272800
6.39142000,-0.94524600,-0.49690700,1.11861000,-1.50311000,0.62443100,-0.76253800
